variant_id,product_id,variant_type,name,price_adjustment,is_active
1,1,Size,Lớn,5000.000,1
2,2,Size,Lớn,5000.000,1
3,3,Size,Lớn,5000.000,1
4,4,Size,Lớn,5000.000,1
5,5,Size,Lớn,5000.000,1
6,6,Size,Lớn,5000.000,1
7,7,Size,Lớn,5000.000,1
8,8,Size,Lớn,5000.000,1
9,9,Size,Lớn,5000.000,1
10,10,Size,Lớn,5000.000,1
11,11,Size,Lớn,5000.000,1
12,12,Size,Lớn,5000.000,1
13,13,Size,Lớn,5000.000,1
14,14,Size,Lớn,5000.000,1
15,15,Size,Lớn,5000.000,1
16,16,Size,Lớn,5000.000,1
17,17,Size,Lớn,5000.000,1
18,18,Size,Lớn,5000.000,1
19,19,Size,Lớn,5000.000,1
20,20,Size,Lớn,5000.000,1
21,21,Size,Lớn,5000.000,1
22,22,Size,Lớn,5000.000,1
23,23,Size,Lớn,5000.000,1
24,24,Size,Lớn,5000.000,1
25,25,Size,Lớn,5000.000,1
26,26,Size,Lớn,5000.000,1
27,27,Size,Lớn,5000.000,1
28,28,Size,Lớn,5000.000,1
29,29,Size,Lớn,5000.000,1
30,30,Size,Lớn,5000.000,1
31,31,Size,Lớn,5000.000,1
32,32,Size,Lớn,5000.000,1
33,33,Size,Lớn,5000.000,1
34,34,Size,Lớn,5000.000,1
35,35,Size,Lớn,5000.000,1
36,36,Size,Lớn,5000.000,1
37,37,Size,Lớn,5000.000,1
38,38,Size,Lớn,5000.000,1
39,39,Size,Lớn,5000.000,1
40,40,Size,Lớn,5000.000,1
41,41,Size,Lớn,5000.000,1
42,42,Size,Lớn,5000.000,1
43,43,Size,Lớn,5000.000,1
44,44,Size,Lớn,5000.000,1
45,45,Size,Lớn,5000.000,1
46,46,Size,Lớn,5000.000,1
47,1,Size,Vừa,0.000,1
48,2,Size,Vừa,0.000,1
49,3,Size,Vừa,0.000,1
50,4,Size,Vừa,0.000,1
51,5,Size,Vừa,0.000,1
52,6,Size,Vừa,0.000,1
53,7,Size,Vừa,0.000,1
54,8,Size,Vừa,0.000,1
55,9,Size,Vừa,0.000,1
56,10,Size,Vừa,0.000,1
57,11,Size,Vừa,0.000,1
58,12,Size,Vừa,0.000,1
59,13,Size,Vừa,0.000,1
60,14,Size,Vừa,0.000,1
61,15,Size,Vừa,0.000,1
62,16,Size,Vừa,0.000,1
63,17,Size,Vừa,0.000,1
64,18,Size,Vừa,0.000,1
65,19,Size,Vừa,0.000,1
66,20,Size,Vừa,0.000,1
67,21,Size,Vừa,0.000,1
68,22,Size,Vừa,0.000,1
69,23,Size,Vừa,0.000,1
70,24,Size,Vừa,0.000,1
71,25,Size,Vừa,0.000,1
72,26,Size,Vừa,0.000,1
73,27,Size,Vừa,0.000,1
74,28,Size,Vừa,0.000,1
75,29,Size,Vừa,0.000,1
76,30,Size,Vừa,0.000,1
77,31,Size,Vừa,0.000,1
78,32,Size,Vừa,0.000,1
79,33,Size,Vừa,0.000,1
80,34,Size,Vừa,0.000,1
81,35,Size,Vừa,0.000,1
82,36,Size,Vừa,0.000,1
83,37,Size,Vừa,0.000,1
84,38,Size,Vừa,0.000,1
85,39,Size,Vừa,0.000,1
86,40,Size,Vừa,0.000,1
87,41,Size,Vừa,0.000,1
88,42,Size,Vừa,0.000,1
89,43,Size,Vừa,0.000,1
90,44,Size,Vừa,0.000,1
91,45,Size,Vừa,0.000,1
92,46,Size,Vừa,0.000,1
93,1,Size,Nhỏ,-5000.000,1
94,2,Size,Nhỏ,-5000.000,1
95,3,Size,Nhỏ,-5000.000,1
96,4,Size,Nhỏ,-5000.000,1
97,5,Size,Nhỏ,-5000.000,1
98,6,Size,Nhỏ,-5000.000,1
99,7,Size,Nhỏ,-5000.000,1
100,8,Size,Nhỏ,-5000.000,1
101,9,Size,Nhỏ,-5000.000,1
102,10,Size,Nhỏ,-5000.000,1
